indicator,value,country_code,country,year
"Birth rate, crude (per 1,000 people)",47.163,ARE,United Arab Emirates,1960
"Birth rate, crude (per 1,000 people)",49.023,BGD,Bangladesh,1960
"Birth rate, crude (per 1,000 people)",26.7,CAN,Canada,1960
"Birth rate, crude (per 1,000 people)",16.6,DNK,Denmark,1960
"Birth rate, crude (per 1,000 people)",47.199,EGY,"Egypt, Arab Rep.",1960
"Birth rate, crude (per 1,000 people)",42.1,IND,India,1960
"Birth rate, crude (per 1,000 people)",17.3,NOR,Norway,1960
"Birth rate, crude (per 1,000 people)",44.187,PAK,Pakistan,1960
"Birth rate, crude (per 1,000 people)",42.381,QAT,Qatar,1960
"Birth rate, crude (per 1,000 people)",13.7,SWE,Sweden,1960
"Birth rate, crude (per 1,000 people)",23.7,USA,United States,1960
CO2 emissions (metric tons per capita),0.119035252872817,ARE,United Arab Emirates,1960
CO2 emissions (metric tons per capita),10.7708472869716,CAN,Canada,1960
CO2 emissions (metric tons per capita),6.50268309283578,DNK,Denmark,1960
CO2 emissions (metric tons per capita),0.602793147451419,EGY,"Egypt, Arab Rep.",1960
CO2 emissions (metric tons per capita),0.267634185282308,IND,India,1960
CO2 emissions (metric tons per capita),3.65856369820612,NOR,Norway,1960
CO2 emissions (metric tons per capita),0.314626187159484,PAK,Pakistan,1960
CO2 emissions (metric tons per capita),3.71467161911194,QAT,Qatar,1960
CO2 emissions (metric tons per capita),6.5764065843507,SWE,Sweden,1960
CO2 emissions (metric tons per capita),15.9997791565885,USA,United States,1960
GDP per capita (current US$),89.0352412832723,BGD,Bangladesh,1960
GDP per capita (current US$),2294.56881421577,CAN,Canada,1960
GDP per capita (current US$),1364.51716017255,DNK,Denmark,1960
GDP per capita (current US$),82.188603975999,IND,India,1960
GDP per capita (current US$),1441.75566002633,NOR,Norway,1960
GDP per capita (current US$),82.3997298183606,PAK,Pakistan,1960
GDP per capita (current US$),1983.10654403097,SWE,Sweden,1960
GDP per capita (current US$),3007.12344537862,USA,United States,1960
GNI per capita (constant 2010 US$),328.965796980039,IND,India,1960
"Industry (including construction), value added (% of GDP)",6.97381556958263,BGD,Bangladesh,1960
"Industry (including construction), value added (% of GDP)",21.5592572364828,EGY,"Egypt, Arab Rep.",1960
"Industry (including construction), value added (% of GDP)",20.9372879806268,IND,India,1960
"Industry (including construction), value added (% of GDP)",14.7396990342752,PAK,Pakistan,1960
"Life expectancy at birth, total (years)",52.265,ARE,United Arab Emirates,1960
"Life expectancy at birth, total (years)",45.831,BGD,Bangladesh,1960
"Life expectancy at birth, total (years)",71.1331707317073,CAN,Canada,1960
"Life expectancy at birth, total (years)",72.1765853658537,DNK,Denmark,1960
"Life expectancy at birth, total (years)",48.056,EGY,"Egypt, Arab Rep.",1960
"Life expectancy at birth, total (years)",41.174,IND,India,1960
"Life expectancy at birth, total (years)",73.549756097561,NOR,Norway,1960
"Life expectancy at birth, total (years)",45.265,PAK,Pakistan,1960
"Life expectancy at birth, total (years)",61.094,QAT,Qatar,1960
"Life expectancy at birth, total (years)",73.0056097560976,SWE,Sweden,1960
"Life expectancy at birth, total (years)",69.7707317073171,USA,United States,1960
"Net primary income (BoP, current US$)",-635013315.674246,CAN,Canada,1960
Population growth (annual %),5.82435887016078,ARE,United Arab Emirates,1960
Population growth (annual %),2.77258702675643,BGD,Bangladesh,1960
Population growth (annual %),2.29862653524038,CAN,Canada,1960
Population growth (annual %),0.665278655311212,DNK,Denmark,1960
Population growth (annual %),2.73934192516687,EGY,"Egypt, Arab Rep.",1960
Population growth (annual %),1.96098348563911,IND,India,1960
Population growth (annual %),0.83936883522366,NOR,Norway,1960
Population growth (annual %),2.28908967494823,PAK,Pakistan,1960
Population growth (annual %),7.12354410884841,QAT,Qatar,1960
Population growth (annual %),0.670032595195427,SWE,Sweden,1960
Population growth (annual %),1.70199277744096,USA,United States,1960
"Birth rate, crude (per 1,000 people)",46.588,ARE,United Arab Emirates,1961
"Birth rate, crude (per 1,000 people)",49.112,BGD,Bangladesh,1961
"Birth rate, crude (per 1,000 people)",26.0,CAN,Canada,1961
"Birth rate, crude (per 1,000 people)",16.6,DNK,Denmark,1961
"Birth rate, crude (per 1,000 people)",46.572,EGY,"Egypt, Arab Rep.",1961
"Birth rate, crude (per 1,000 people)",41.857,IND,India,1961
"Birth rate, crude (per 1,000 people)",17.3,NOR,Norway,1961
"Birth rate, crude (per 1,000 people)",44.259,PAK,Pakistan,1961
"Birth rate, crude (per 1,000 people)",41.741,QAT,Qatar,1961
"Birth rate, crude (per 1,000 people)",13.9,SWE,Sweden,1961
"Birth rate, crude (per 1,000 people)",23.3,USA,United States,1961
CO2 emissions (metric tons per capita),0.109141235763324,ARE,United Arab Emirates,1961
CO2 emissions (metric tons per capita),10.6278976520169,CAN,Canada,1961
CO2 emissions (metric tons per capita),6.88126015490644,DNK,Denmark,1961
CO2 emissions (metric tons per capita),0.624427099714148,EGY,"Egypt, Arab Rep.",1961
CO2 emissions (metric tons per capita),0.28370370894933,IND,India,1961
